,name,kind,latitude_deg,longitude_deg,elevation_ft,region_name,municipality,geometry
585,Fazenda Cachoeira Preta Airport,small_airport,-20.02138900756836,-53.21611022949219,1083.0,Mato Grosso do Sul,Água Clara,POINT (3863435.961124642 7740425.439407593)
586,Fazenda Jatiuca Airport,small_airport,-20.169721603394,-52.933055877686,1601.0,Mato Grosso do Sul,Água Clara,POINT (3894926.361099122 7722957.172158282)
587,Fazenda São Francisco Airport,closed,-19.3808326721,-53.0416679382,1099.0,Mato Grosso do Sul,Água Clara,POINT (3882843.037858149 7815670.54312453)
588,Fazenda Santa Rosa Airport,small_airport,-20.316389083862305,-52.73333358764648,1476.0,Mato Grosso do Sul,Água Clara,POINT (3917145.8915780955 7705668.462399686)
589,Fazenda Progresso Airport,small_airport,-19.72638893127441,-52.85139083862305,1650.0,Mato Grosso do Sul,Água Clara,POINT (3904011.7707655476 7775116.49757014)
590,Fazenda São João Airport,small_airport,-19.257221221923828,-52.89638900756836,1575.0,Mato Grosso do Sul,Água Clara,POINT (3899005.6285558804 7830156.209479941)
591,Fazenda Três Marias Airport,small_airport,-19.503125,-53.049556,1821.0,Mato Grosso do Sul,Água Clara,POINT (3881965.4741693363 7801328.509582212)
592,Fazenda Ponto de Apoio Airport,closed,-20.463225,-52.686535,1319.0,Mato Grosso do Sul,Água Clara,POINT (3922352.3342058966 7688343.283010529)
593,Fazenda Figueira II Airport,small_airport,-20.167285,-53.070656,1355.0,Mato Grosso do Sul,Água Clara,POINT (3879618.0541942623 7723244.252206778)
594,Fazenda Cambará Airstrip,small_airport,-20.138056,-52.978333,1234.0,Mato Grosso do Sul,Água Clara,POINT (3889889.184732593 7726687.652780819)
595,Fazenda Santa Joana Airports,small_airport,-20.181194,-52.979625,1430.0,Mato Grosso do Sul,Água Clara,POINT (3889745.446978669 7721605.436054009)
596,Fazenda Pontal Airstrip,small_airport,-19.680229,-52.894262,1598.0,Mato Grosso do Sul,Água Clara,POINT (3899242.2626816197 7780538.86880712)
597,Fazenda Cachoeira Airport,small_airport,-19.698471,-53.081144,1621.0,Mato Grosso do Sul,Água Clara,POINT (3878451.2418388794 7778396.184413604)
598,Fazenda San Remo Airport,small_airport,-19.535715,-53.019455,1749.0,Mato Grosso do Sul,Água Clara,POINT (3885314.2745802235 7797504.615086509)
599,Fazenda Água Comprida Airport,small_airport,-19.947849,-48.035496,2211.0,Minas Gerais,Água Comprida,POINT (4439790.336739035 7749079.629563376)
