,name,kind,latitude_deg,longitude_deg,elevation_ft,region_name,municipality,geometry
0,Guarulhos - Governador André Franco Montoro International Airport,large_airport,-23.431944,-46.467778,2461.0,São Paulo,São Paulo,POINT (4614202.305861472 7334259.93034244)
1,Rio Galeão – Tom Jobim International Airport,large_airport,-22.809999,-43.250557,28.0,Rio de Janeiro,Rio De Janeiro,POINT (4972124.999682717 7409069.809796454)
2,Congonhas Airport,medium_airport,-23.627657,-46.654601,2631.0,São Paulo,São Paulo,POINT (4593417.848894492 7310645.616864061)
3,Santos Dumont Airport,medium_airport,-22.9105,-43.163101,11.0,Rio de Janeiro,Rio de Janeiro,POINT (4981854.66609694 7397004.833060657)
4,Presidente Juscelino Kubitschek International Airport,large_airport,-15.869167,-47.920834,3497.0,Distrito Federal,Brasília,POINT (4452546.728643394 8223176.557570638)
5,Deputado Luiz Eduardo Magalhães International Airport,large_airport,-12.908611,-38.322498,64.0,Bahia,Salvador,POINT (5520382.067689556 8561117.559991674)
6,Salgado Filho International Airport,medium_airport,-29.994712,-51.166592,11.0,Rio Grande do Sul,Porto Alegre,POINT (4091449.23274496 6520593.859808665)
7,Recife/Guararapes - Gilberto Freyre International Airport,medium_airport,-8.125984,-34.923316,33.0,Pernambuco,Recife,POINT (5898548.310614331 9098952.89377058)
8,Cataratas International Airport,medium_airport,-25.594167,-54.489444,786.0,Paraná,Foz do Iguaçu,POINT (3721774.8650191156 7071323.040164068)
9,Viracopos International Airport,medium_airport,-23.007404,-47.134502,2170.0,São Paulo,Campinas,POINT (4540027.839725862 7385363.101530932)
10,Tancredo Neves International Airport,large_airport,-19.63571,-43.966928,2721.0,Minas Gerais,Belo Horizonte,POINT (4892427.198973527 7785766.983588841)
11,Eduardo Gomes International Airport,large_airport,-3.03861,-60.049702,264.0,Amazonas,Manaus,POINT (3103184.3107173964 9664051.583879983)
12,Afonso Pena Airport,medium_airport,-25.5285,-49.1758,2988.0,Paraná,Curitiba,POINT (4312929.086158133 7079377.081416335)
13,Pinto Martins International Airport,medium_airport,-3.77628,-38.5326,82.0,Ceará,Fortaleza,POINT (5497007.772352919 9582386.737493273)
14,Hercílio Luz International Airport,large_airport,-27.670279,-48.552502,16.0,Santa Catarina,Florianópolis,POINT (4382272.317230353 6814299.684487309)
15,Campo Grande Airport,medium_airport,-20.469998,-54.673988,1833.0,Mato Grosso do Sul,Campo Grande,POINT (3701243.9516598685 7687543.732785854)
16,Val de Cans/Júlio Cezar Ribeiro International Airport,large_airport,-1.379279,-48.476207,54.0,Pará,Belém,POINT (4390760.298604678 9847564.587984486)
17,Eurico de Aguiar Salles Airport,large_airport,-20.258,-40.285,34.0,Espírito Santo,Vitória,POINT (5302049.537077086 7712553.166368017)
18,Pampulha - Carlos Drummond de Andrade Airport,medium_airport,-19.8512,-43.9506,2589.0,Minas Gerais,Belo Horizonte,POINT (4894243.723776988 7760447.087617962)
19,Governador José Richa Airport,medium_airport,-23.333599,-51.1301,1867.0,Paraná,Londrina,POINT (4095509.045528392 7346112.668475021)
20,Leite Lopes Airport,medium_airport,-21.134314,-47.774053,1805.0,São Paulo,Ribeirão Preto,POINT (4468876.427760047 7608945.725770564)
21,São Gonçalo do Amarante - Governador Aluízio Alves International Airport,medium_airport,-5.769804,-35.366578,272.0,Rio Grande do Norte,Natal,POINT (5849234.468292466 9361299.314872062)
22,Marechal Rondon Airport,medium_airport,-15.6529,-56.116699,617.0,Mato Grosso,Cuiabá,POINT (3540739.2777423663 8248021.580665907)
23,Porto Seguro Airport,large_airport,-16.438426,-39.080584,169.0,Bahia,Porto Seguro,POINT (5436043.384314005 8157649.196209986)
24,Santa Genoveva Airport,medium_airport,-16.632,-49.220699,2450.0,Goiás,Goiânia,POINT (4307933.976705013 8135322.922348714)
25,Natal Air Force Base,medium_airport,-5.91142,-35.2477,171.0,Rio Grande do Norte,Natal,POINT (5862459.899183312 9345566.945023118)
26,Estadual de Campos dos Amarais - Prefeito Francisco Amaral Airport,small_airport,-22.859866,-47.107573,2008.0,São Paulo,Campinas,POINT (4543023.748375566 7403084.48785953)
27,Fernando de Noronha Airport,medium_airport,-3.854471,-32.423302,193.0,Pernambuco,Fernando de Noronha,POINT (6176680.196944435 9573726.605203485)
28,Prof. Eribelto Manoel Reino State Airport,medium_airport,-20.817113,-49.406963,1784.0,São Paulo,São José do Rio Preto,POINT (4287211.709679551 7646518.811685402)
29,Marechal Cunha Machado International Airport,medium_airport,-2.58536,-44.2341,178.0,Maranhão,São Luís,POINT (4862703.744491038 9714200.372475836)
30,Comte. Rolim Adolfo Amaro–Jundiaí State Airport,small_airport,-23.180861,-46.943921,2470.0,São Paulo,Jundiaí,POINT (4561230.382203095 7364503.38961295)
31,Brigadeiro Lysias Rodrigues Airport,medium_airport,-10.2915,-48.356998,774.0,Tocantins,Palmas,POINT (4404022.553951059 8856465.994314145)
32,Bacacheri Airport,medium_airport,-25.4051,-49.231998,3057.0,Paraná,Curitiba,POINT (4306676.938870967 7094500.020194549)
33,Zumbi dos Palmares Airport,medium_airport,-9.51081,-35.791698,387.0,Alagoas,Maceió,POINT (5801938.962140639 8944060.431070331)
34,Regional de Maringá - Sílvio Name Júnior Airport,medium_airport,-23.47606,-52.016187,1801.0,Paraná,Maringá,POINT (3996929.978066136 7328940.085547554)
35,Jacarepaguá - Roberto Marinho Airport,small_airport,-22.986773,-43.372194,10.0,Rio de Janeiro,Rio De Janeiro,POINT (4958592.624161006 7387842.349985447)
36,Ministro Victor Konder International Airport,medium_airport,-26.879431,-48.650979,18.0,Santa Catarina,Navegantes,POINT (4371316.541074647 6912765.958276084)
37,Senador Nilo Coelho Airport,medium_airport,-9.362422,-40.569098,1263.0,Pernambuco,Petrolina,POINT (5270443.029016487 8960686.343434237)
38,Professor Urbano Ernesto Stumpf Airport,medium_airport,-23.2292,-45.8615,2120.0,São Paulo,São José Dos Campos,POINT (4681652.025655219 7358685.340240858)
39,Campo de Marte Airport,medium_airport,-23.5091,-46.637798,2371.0,São Paulo,São Paulo,POINT (4595287.218460425 7324954.691368344)
40,Americana Airport,small_airport,-22.7558,-47.269402,2085.0,São Paulo,Americana,POINT (4525019.927183799 7415572.5708691925)
41,Araraquara Airport,medium_airport,-21.812,-48.132999,2334.0,São Paulo,Araraquara,POINT (4428942.920159431 7528397.705639294)
42,Atlas Brasil Cantanhede Airport,medium_airport,2.845855,-60.690944,276.0,Roraima,Boa Vista,POINT (3031844.771397181 10314619.06609252)
43,Presidente Castro Pinto International Airport,medium_airport,-7.148691,-34.950554,217.0,Paraíba,João Pessoa,POINT (5895518.025055987 9207931.852722507)
44,Lauro Carneiro de Loyola Airport,medium_airport,-26.224501,-48.797401,15.0,Santa Catarina,Joinville,POINT (4355026.78147321 6993783.0123882815)
45,Presidente Prudente Airport,medium_airport,-22.1751,-51.424599,1477.0,São Paulo,Presidente Prudente,POINT (4062745.4040478524 7485082.458564922)
46,Mário de Almeida Franco Airport,medium_airport,-19.764722824097,-47.966110229492,2655.0,Minas Gerais,Uberaba,POINT (4447509.651605215 7770612.240295421)
47,Ten. Cel. Aviador César Bombonato Airport,medium_airport,-18.883579,-48.225936,3094.0,Minas Gerais,Uberlândia,POINT (4418603.4808123475 7873875.45525801)
48,Hugo Cantergiani Regional Airport,medium_airport,-29.197183,-51.187647,2472.0,Rio Grande do Sul,Caxias Do Sul,POINT (4089106.8191158045 6622117.869125497)
49,Bahia - Jorge Amado Airport,medium_airport,-14.815929,-39.033458,15.0,Bahia,Ilhéus,POINT (5441286.252264022 8343926.998318175)
50,Macapá - Alberto Alcolumbre International Airport,medium_airport,0.050664,-51.072201,56.0,Amapá,Macapá,POINT (4101950.4326912747 10005598.746005053)
51,Bauru Airport,small_airport,-22.344999,-49.053799,2025.0,São Paulo,Bauru,POINT (4326501.957455718 7464775.942989382)
52,Coronel Adalberto Mendes da Silva Airport,medium_airport,-25.000323,-53.501208,2481.0,Paraná,Cascavel,POINT (3831718.226464018 7143997.143820834)
53,Serafin Enoss Bertaso Airport,medium_airport,-27.134199,-52.656601,2154.0,Santa Catarina,Chapecó,POINT (3925682.555510819 6881122.640235466)
54,Frank Miloye Milenkowichi–Marília State Airport,medium_airport,-22.196899,-49.926485,2134.0,São Paulo,Marília,POINT (4229413.779807963 7482478.410527628)
55,Sorocaba Airport,small_airport,-23.478001,-47.490002,2083.0,São Paulo,Sorocaba,POINT (4500477.706970464 7328705.9836241165)
56,Itanhaém Airport,small_airport,-24.159729,-46.790604,13.0,São Paulo,Itanhaém,POINT (4578287.225251363 7246265.310878398)
57,Aeroclube de Itápolis Airport,small_airport,-21.600287,-48.833057,1827.0,São Paulo,Itápolis,POINT (4351059.975471729 7553602.189181302)
58,Araçatuba Airport,medium_airport,-21.141479,-50.424575,1361.0,São Paulo,Araçatuba,POINT (4174000.2056191145 7608096.082534141)
59,Santarém - Maestro Wilson Fonseca International Airport,medium_airport,-2.422423,-54.79306,198.0,Pará,Santarém,POINT (3687996.9378555072 9732223.555152424)
60,Aracaju - Santa Maria International Airport,medium_airport,-10.984,-37.070301,139.0,Sergipe,Aracaju,POINT (5659691.653022638 8778583.176942632)
61,Paraty Airport,small_airport,-23.224044,-44.7234,10.0,Rio de Janeiro,Paraty,POINT (4808268.076538251 7359306.014343321)
62,Presidente João Batista Figueiredo Airport,small_airport,-11.885001,-55.586109,1227.0,Mato Grosso,Sinop,POINT (3599768.546205619 8676971.81655633)
63,Botucatu - Tancredo de Almeida Neves Airport,small_airport,-22.937765,-48.468161,3012.0,São Paulo,Botucatu,POINT (4391655.433254889 7393730.157115322)
64,Tenente Lund Pressoto Airport,small_airport,-20.592199,-47.3829,3292.0,São Paulo,Franca,POINT (4512393.032760531 7673111.802133041)
65,Mário Pereira Lopes–São Carlos Airport,small_airport,-21.875401,-47.903703,2649.0,São Paulo,São Carlos,POINT (4454452.588908465 7520842.480581961)
66,Rio Branco-Plácido de Castro International Airport,medium_airport,-9.869031,-67.893984,633.0,Acre,Rio Branco,POINT (2230491.2179726013 8903893.738813527)
67,Senador Petrônio Portela Airport,medium_airport,-5.06025,-42.823712,219.0,Piauí,Teresina,POINT (5019612.415761416 9440066.971716354)
68,Bauru/Arealva–Moussa Nakhal Tobias State Airport,medium_airport,-22.160755,-49.070325,1962.0,São Paulo,Bauru,POINT (4324663.4047302175 7486795.849604375)
69,Dix-Sept Rosado Airport,medium_airport,-5.20192,-37.3643,76.0,Rio Grande do Norte,Mossoró,POINT (5626983.637607858 9424347.557975195)
70,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,medium_airport,-25.184476,-50.143822,2588.0,Paraná,Ponta Grossa,POINT (4205234.575299778 7121499.084938976)
71,Maestro Marinho Franco Airport,medium_airport,-16.584292,-54.724803,1467.0,Mato Grosso,Rondonópolis,POINT (3695590.6745966743 8140827.53461554)
72,Chafei Amsei Airport,medium_airport,-20.584499359131,-48.594100952148,1898.0,São Paulo,Barretos,POINT (4377644.345134885 7674021.47389284)
73,Poços de Caldas - Embaixador Walther Moreira Salles Airport,medium_airport,-21.842529,-46.569768,4138.0,Minas Gerais,Poços De Caldas,POINT (4602855.700967737 7524760.118895251)
74,Araras Airport,small_airport,-22.338227,-47.357898,2247.0,São Paulo,Araras,POINT (4515174.558552796 7465585.817628631)
75,Atibaia Airport,small_airport,-23.12777709960937,-46.57472229003906,2592.0,São Paulo,Atibaia,POINT (4602304.525640722 7370890.083762804)
76,Ibitinga Airport,small_airport,-21.74723,-48.855595,1778.0,São Paulo,Ibitinga,POINT (4348552.574931529 7536112.574458817)
77,Paranaguá Airport,small_airport,-25.54010009765625,-48.53120040893555,16.0,Paraná,Paranaguá,POINT (4384642.164641042 7077954.656767872)
78,Piracicaba Airport,small_airport,-22.71150016784668,-47.61819839477539,1887.0,São Paulo,Piracicaba,POINT (4486215.584798509 7420885.698021409)
79,Ubatuba Gastão Madeira State Airport,small_airport,-23.440628,-45.074057,13.0,São Paulo,Ubatuba,POINT (4769256.737855804 7333212.889213646)
80,Votuporanga Airport,small_airport,-20.46319961547852,-50.00450134277344,1667.0,São Paulo,Votuporanga,POINT (4220734.295381015 7688346.279577073)
81,Prefeito Renato Moreira Airport,medium_airport,-5.53129,-47.459999,430.0,Maranhão,Imperatriz,POINT (4503815.604672462 9387787.306633243)
82,Francisco de Assis Airport,medium_airport,-21.791482,-43.386072,2989.0,Minas Gerais,Juiz de Fora,POINT (4957048.66707977 7530842.022309931)
83,Ponta Porã Airport,medium_airport,-22.549601,-55.702599,2156.0,Mato Grosso do Sul,Ponta Porã,POINT (3586808.785404842 7440288.416705464)
84,Governador Jorge Teixeira de Oliveira Airport,medium_airport,-8.707854,-63.90242,295.0,Rondônia,Porto Velho,POINT (2674561.2210715204 9033942.235706668)
85,Santo Ângelo Airport,medium_airport,-28.282503,-54.169623,1056.0,Rio Grande do Sul,Santo Ângelo,POINT (3757355.6329740067 6737578.539066213)
86,Piloto Osvaldo Marques Dias Airport,medium_airport,-9.866389,-56.106298,948.0,Mato Grosso,Alta Floresta,POINT (3541896.4111623066 8904190.141656185)
87,Forquilhinha - Criciúma  Airport,medium_airport,-28.725743,-49.424475,92.0,Santa Catarina,Criciúma,POINT (4285263.462352371 6681755.560713484)
88,Lages Airport,medium_airport,-27.782101,-50.281502,3065.0,Santa Catarina,Lages,POINT (4189917.3818320893 6800319.39228286)
89,João Simões Lopes Neto International Airport,medium_airport,-31.717253,-52.327952,59.0,Rio Grande do Sul,Pelotas,POINT (3962245.4572827704 6298449.726835056)
90,Brigadeiro Camarão Airport,medium_airport,-12.6944,-60.098301,2018.0,Rondônia,Vilhena,POINT (3097777.5683776513 8585400.848444875)
91,Guaratinguetá Airport,medium_airport,-22.791599,-45.2048,1761.0,São Paulo,Guaratinguetá,POINT (4754711.300424472 7411277.722949229)
92,Lins Airport,medium_airport,-21.663999557495,-49.730499267578,1559.0,São Paulo,Lins,POINT (4251217.61028744 7546021.135487238)
93,Dourados Airport,small_airport,-22.2019,-54.926601,1503.0,Mato Grosso do Sul,Dourados,POINT (3673140.2169601806 7481880.94729778)
94,Angra dos Reis Airport,small_airport,-22.9753,-44.307098,10.0,Rio de Janeiro,Angra dos Reis,POINT (4854582.561394333 7389220.906445905)
95,Bebedouro Airport,small_airport,-20.900252,-48.473547,1942.0,São Paulo,Bebedouro,POINT (4391056.229274522 7636678.622988852)
96,Carlos Prates Airport,small_airport,-19.909629,-43.989179,3044.0,Minas Gerais,Belo Horizonte,POINT (4889951.727795074 7753575.748546897)
97,Catanduva Airport,small_airport,-21.1492,-48.988701,1841.0,São Paulo,Catanduva,POINT (4333744.248713414 7607180.460925933)
98,Brigadeiro Cabral Airport,small_airport,-20.180700302124,-44.870899200439,2608.0,Minas Gerais,Divinópolis,POINT (4791858.476091901 7721663.608120358)
99,Mirassol Airport,small_airport,-20.80719947814941,-49.48609924316406,1916.0,São Paulo,Mirassol,POINT (4278407.633947057 7647691.7921108585)
100,Primavera do Leste Airport,small_airport,-15.565555572509766,-54.33777618408203,2149.0,Mato Grosso,Primavera Do Leste,POINT (3738648.2328229877 8258048.256410204)
101,Rio Claro Airport,small_airport,-22.430735,-47.562293,1968.0,São Paulo,Rio Claro,POINT (4492435.179130745 7454519.18685434)
102,General Leite de Castro Airport,small_airport,-17.8347225189209,-50.95611190795898,2464.0,Goiás,Rio Verde,POINT (4114865.591627072 7996081.013805898)
103,Pedro Otacílio Figueiredo Airport,closed,-14.862567,-40.863186,3002.0,Bahia,Vitória da Conquista,POINT (5237725.112162003 8338592.992743634)
104,João Correa da Rocha Airport,medium_airport,-5.36859,-49.138,357.0,Pará,Marabá,POINT (4317134.416729594 9405849.5968363)
105,Mário Ribeiro Airport,medium_airport,-16.706919,-43.818901,2191.0,Minas Gerais,Montes Claros,POINT (4908895.518246055 8126675.869462172)
106,Santa Maria Airport,medium_airport,-29.711399,-53.688202,287.0,Rio Grande do Sul,Santa Maria,POINT (3810914.745382548 6556752.131683003)
107,Coronel Altino Machado Airport,medium_airport,-18.895882,-41.982869,561.0,Minas Gerais,Governador Valadares,POINT (5113157.991785177 7872437.484264763)
108,Paulo Afonso Airport,medium_airport,-9.40088,-38.250599,883.0,Bahia,Paulo Afonso,POINT (5528380.98469372 8956378.069202011)
109,São Gabriel da Cachoeira Airport,medium_airport,-0.14835,-66.9855,249.0,Amazonas,São Gabriel da Cachoeira,POINT (2331561.9994245134 9983606.213472927)
110,Tefé Airport,medium_airport,-3.38294,-64.724098,186.0,Amazonas,Tefé,POINT (2583147.7921483424 9625939.898676043)
111,Tucuruí Airport,medium_airport,-3.78601,-49.720299,830.0,Pará,Tucuruí,POINT (4252352.411797568 9581309.123778686)
112,Campo Fontenelle,medium_airport,-21.984692,-47.341207,1968.0,São Paulo,Pirassununga,POINT (4517031.4678799985 7507810.761193619)
113,Canoas Air Force Base,medium_airport,-29.945928,-51.144413,26.0,Rio Grande do Sul,Porto Alegre,POINT (4093916.6937699444 6526827.394163454)
114,Bom Jesus da Lapa Airport,medium_airport,-13.2621,-43.4081,1454.0,Bahia,Bom Jesus da Lapa,POINT (4954598.005126646 8520999.224862345)
115,Major Brigadeiro Trompowsky Airport,medium_airport,-21.591375,-45.474116,3025.0,Minas Gerais,Varginha,POINT (4724749.321372002 7554662.344180921)
116,Romeu Zema Airport,small_airport,-19.5632,-46.9604,3276.0,Minas Gerais,Araxá,POINT (4559397.0583277745 7794279.100418756)
117,Dom Ricardo Weberberger Airport,small_airport,-12.0789,-45.008999,2451.0,Bahia,Barreiras,POINT (4776494.5790282395 8655060.982934315)
118,Cabo Frio Airport,small_airport,-22.921485,-42.071874,22.0,Rio de Janeiro,Cabo Frio,POINT (5103255.99581923 7395685.554518025)
119,Morro de São Paulo Airport,small_airport,-13.428781,-38.913689,33.0,Bahia,Cairu,POINT (5454610.808804054 8502061.78259931)
120,Canela Airport,small_airport,-29.370091,-50.831729,2746.0,Rio Grande do Sul,Canela,POINT (4128703.4552621767 6600175.568073088)
121,Juvenal Loureiro Cardoso Airport,small_airport,-26.217184,-52.694463,2697.0,Paraná,Pato Branco,POINT (3921470.327307205 6994685.52332163)
122,Plínio Alarcom Airport,small_airport,-20.752643,-51.682026,1063.0,Mato Grosso do Sul,Três Lagoas,POINT (4034106.101587026 7654145.588532075)
123,Valença Airport,small_airport,-13.2965,-38.992401,21.0,Bahia,Valença,POINT (5445853.931027843 8517091.955318654)
124,Anápolis Airport,small_airport,-16.3623008728,-48.9271011353,3648.0,Goiás,Anápolis,POINT (4340597.364962639 8166423.06584073)
125,Marcelo Pires Halzhausen Airport,small_airport,-22.638601,-50.455983,1850.0,São Paulo,Assis,POINT (4170505.9986723303 7429625.121062454)
126,Aeroclube de Bento Gonçalves Airport,small_airport,-29.147424,-51.540791,2209.0,Rio Grande do Sul,Bento Gonçalves,POINT (4049818.7963822684 6628425.430399921)
127,Blumenau Airport,small_airport,-26.831661,-49.093569,60.0,Santa Catarina,Blumenau,POINT (4322077.460185163 6918691.160195395)
128,Estadual Arthur Siqueira Airport,small_airport,-22.978822,-46.537131,2887.0,São Paulo,Bragança Paulista,POINT (4606486.636784159 7388797.727559065)
129,Monte Verde Airport,small_airport,-22.859722137451,-46.037498474121,5102.0,Minas Gerais,Camanducaia,POINT (4662071.820264971 7403101.758256039)
130,Fernandópolis - Coronel Aviador Carlos Orleans Guimarães Airport,small_airport,-20.276901,-50.214937,1640.0,São Paulo,Fernandópolis,POINT (4197322.8799667265 7710324.821392682)
131,Frutal Airport,small_airport,-20.00279998779297,-48.95840072631836,1808.0,Minas Gerais,Frutal,POINT (4337115.218746139 7742613.381924989)
132,Aeródromo Nacional de Aviação,small_airport,-16.62584,-49.348832,2707.0,Goiás,Goiânia,POINT (4293678.907336947 8136033.749153128)
133,Gurupi Airport,small_airport,-11.73960018157959,-49.13219833374024,1148.0,Tocantins,Gurupi,POINT (4317779.86446736 8693391.91244082)
134,Jataí Airport,small_airport,-17.8299007416,-51.7729988098,2529.0,Goiás,Jataí,POINT (4023985.182586403 7996641.098689756)
135,Lençóis Paulista Airport,small_airport,-22.578399658203125,-48.774600982666016,2039.0,São Paulo,Lençóis Paulista,POINT (4357563.332000311 7436838.745653932)
136,Brigadeiro Araripe Macedo Airport,small_airport,-16.261699676513672,-47.96870040893555,3269.0,Goiás,Luziânia,POINT (4447221.488621102 8178012.635861247)
137,Marchesan S.A. Airport,small_airport,-21.630599975585938,-48.39289855957031,1942.0,São Paulo,Matão,POINT (4400028.540176097 7549995.719201705)
138,Fazenda Mosquito Airport,small_airport,-20.747222900390625,-47.88972091674805,2415.0,São Paulo,Orlândia,POINT (4456008.125473336 7654786.634222971)
139,Pará de Minas Airport,small_airport,-19.8426,-44.6012,2753.0,Minas Gerais,Pará de Minas,POINT (4821863.087010008 7761458.2443759255)
140,Penápolis Airport,small_airport,-21.40999984741211,-50.033599853515625,1371.0,São Paulo,Penápolis,POINT (4217497.024036886 7576224.100624728)
141,Terravista Airport,small_airport,-16.541416,-39.10811,164.0,Bahia,Porto Seguro,POINT (5432981.058141783 8145773.445357521)
142,Pouso Alegre Airport,small_airport,-22.2892,-45.919102,2904.0,Minas Gerais,Pouso Alegre,POINT (4675243.680375397 7471447.851716688)
143,Santa Cruz do Sul Airport,small_airport,-29.68409919738769,-52.412200927734375,646.0,Rio Grande do Sul,Santa Cruz Do Sul,POINT (3952872.5844940385 6560230.85279101)
144,Aeroclube de Santa Catarina Airport,small_airport,-27.61166763305664,-48.67277908325195,20.0,Santa Catarina,São José,POINT (4368891.235345551 6821621.660747134)
145,Tupã Airport,small_airport,-21.88909912109375,-50.50510025024414,1805.0,São Paulo,Tupã,POINT (4165041.5998882633 7519209.688563544)
146,Old Vacaria Airport,small_airport,-28.509722,-50.918331,3215.0,Rio Grande do Sul,Vacaria,POINT (4119068.7981682727 6708991.496811604)
147,Aeroclube da Bahia Airport,small_airport,-13.024053,-38.665727,12.0,Bahia,Vera Cruz,POINT (5482197.109840042 8548022.159562752)
148,Presidente João Suassuna Airport,medium_airport,-7.269662,-35.896057,1646.0,Paraíba,Campina Grande,POINT (5790328.800947332 9194455.719871303)
149,Corumbá International Airport,medium_airport,-19.01193,-57.672772,463.0,Mato Grosso do Sul,Corumbá,POINT (3367622.83969148 7858868.554143906)
150,Lauro Kurtz Airport,medium_airport,-28.243976,-52.32777,2380.0,Rio Grande do Sul,Passo Fundo,POINT (3962265.7051707073 6742419.601864487)
151,Altamira Interstate Airport,medium_airport,-3.253144,-52.253938,368.0,Pará,Altamira,POINT (3970479.6725450996 9640307.72337702)
152,Jericoacoara - Comandante Ariston Pessoa Regional Airport,medium_airport,-2.906425,-40.357338,89.0,Ceará,Cruz,POINT (5294001.7803871855 9678678.947295444)
153,Itaituba Airport,medium_airport,-4.242131,-56.000651,110.0,Pará,Itaituba,POINT (3553649.865101011 9530778.64626149)
154,Trombetas Airport,medium_airport,-1.4896,-56.396801,167.0,Pará,Oriximiná,POINT (3509577.3331993204 9835369.429966334)
155,Rubem Berta Airport,medium_airport,-29.7822,-57.0382,256.0,Rio Grande do Sul,Uruguaiana,POINT (3438220.3272944572 6547725.74481392)
156,Ponta Pelada Airport / Manaus Air Base,medium_airport,-3.14604,-59.986301,267.0,Amazonas,Manaus,POINT (3110237.807107903 9652162.232319254)
157,Major Brigadeiro Doorgal Borges Airport,medium_airport,-21.2672,-43.76101,3657.0,Minas Gerais,Barbacena,POINT (4915336.015391885 7593180.999462843)
158,Umberto Modiano Airport,medium_airport,-22.770881,-41.96308,10.0,Rio de Janeiro,Cabo Frio,POINT (5115359.560215828 7413763.424540073)
159,Conceição do Araguaia Airport,medium_airport,-8.34835,-49.301498,653.0,Pará,Conceição do Araguaia,POINT (4298944.91573032 9074120.23298651)
160,Santos Nero Moura Air Base / Guarujá Airport,medium_airport,-23.928192,-46.300195,13.0,São Paulo,Guarujá,POINT (4632846.271818006 7274314.047247896)
161,Telêmaco Borba Airport,medium_airport,-24.317801,-50.6516,2610.0,Paraná,Telêmaco Borba,POINT (4148743.190460762 7227086.715174446)
162,Orlando Bezerra de Menezes Airport,small_airport,-7.21932,-39.269096,1342.0,Ceará,Juazeiro do Norte,POINT (5415071.0224968875 9200064.246665616)
163,Luis Alberto Lehr Airport,small_airport,-27.90658,-54.520628,1014.0,Rio Grande do Sul,Santa Rosa,POINT (3718305.578549792 6784739.589840137)
164,Toledo - Luiz Dalcanale Filho Municipal Airport,small_airport,-24.6863,-53.697498,1843.0,Paraná,Toledo,POINT (3809880.545567936 7182283.0922708735)
165,Barreirinhas National Airport,small_airport,-2.756644,-42.803187,40.0,Maranhão,Barreirinhas,POINT (5021895.865760867 9695251.359761488)
166,Caçador Airport,small_airport,-26.787423,-50.939942,3376.0,Santa Catarina,Caçador,POINT (4116664.5283539915 6924176.01480744)
167,Nelson Ribeiro Guimarães Airport,small_airport,-17.725096,-48.606324,2307.0,Goiás,Caldas Novas,POINT (4376284.505007677 8008811.15680175)
168,Caruaru Airport,small_airport,-8.28239,-36.0135,1891.0,Pernambuco,Caruaru,POINT (5777263.016865216 9081487.77485209)
169,Tancredo Thomas de Faria Airport,small_airport,-25.388327,-51.52349,3494.0,Paraná,Guarapuava,POINT (4051743.569509697 7096554.378930526)
170,Humberto Ghizzo Bortoluzzi Regional Airport,small_airport,-28.6753,-49.0596,120.0,Santa Catarina,Jaguaruna,POINT (4325856.58384077 6688120.486919956)
171,Andradina Airport,small_airport,-20.925031,-51.382252,1247.0,São Paulo,Andradina,POINT (4067456.598061334 7633744.757142157)
172,Captain João Busse Airport,small_airport,-23.609099,-51.384301,2625.0,Paraná,Apucarana,POINT (4067228.6424438497 7312886.312128108)
173,Arapongas Airport,small_airport,-23.3529,-51.491699,2599.0,Paraná,Arapongas,POINT (4055280.3860228537 7343787.1741925115)
174,Batatais Airport,small_airport,-20.877218,-47.585757,2890.0,São Paulo,Batatais,POINT (4489824.759116757 7639405.438961782)
175,Aeroclube Airport,small_airport,-21.281944,-50.326942,1394.0,São Paulo,Birigui,POINT (4184862.084975816 7591430.982026173)
176,Aeroclube de Birigui - CMTE Munir Djabak Airport,small_airport,-21.21655,-50.305613,1338.0,São Paulo,Birigui,POINT (4187234.981689009 7599191.476993173)
177,Fazenda Irohy Airport,small_airport,-23.563384,-46.071598,2467.0,São Paulo,Biritiba-Mirim,POINT (4658278.175327107 7318404.579406053)
178,Fazenda Vale Eldorado - Dr José de Aguiar Leme Airport,small_airport,-23.0054,-46.636913,2727.0,São Paulo,Bragança Paulista,POINT (4595385.676596819 7385603.94107414)
179,Cáceres Airport,small_airport,-16.04360008239746,-57.62990188598633,492.0,Mato Grosso,Cáceres,POINT (3372392.2312540114 8203117.812611414)
180,Cachoeiro do Itapemirim - Raimundo de Andrade Airport,small_airport,-20.834299,-41.1856,256.0,Espírito Santo,Cachoeiro do Itapemirim,POINT (5201855.86743008 7644485.157449692)
181,Max Fontoura Airport,small_airport,-25.426398,-49.524194,3140.0,Paraná,Campo Largo,POINT (4274169.511049317 7091891.022823775)
182,Canarana Airport,small_airport,-13.574443817138672,-52.27055740356445,1314.0,Mato Grosso,Canarana,POINT (3968630.7284739614 8485501.414153397)
183,Capão Bonito Airport,small_airport,-24.034346,-48.356246,2402.0,São Paulo,Capão Bonito,POINT (4404106.215553963 7261460.740570218)
184,Capão da Canoa Airport,small_airport,-29.763611,-50.036945,33.0,Rio Grande do Sul,Capão Da Canoa,POINT (4217124.869360252 6550096.271357203)
185,Ubaporanga Airport,small_airport,-19.72529983520508,-42.112098693847656,2067.0,Minas Gerais,Caratinga,POINT (5098780.912888934 7775244.451080946)
186,Castro Airport,small_airport,-24.807723,-49.959651,3314.0,Paraná,Castro,POINT (4225723.991613967 7167490.737535721)
